Timestamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,Size,GeoIP
20:35:07,UDP,192.168.2.19,51846,172.217.1.10,443,557,N/A
20:35:08,UDP,192.168.2.19,51846,172.217.1.10,443,557,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,82,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,1292,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,1292,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,345,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,989,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,94,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,66,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,80,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,63,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,1292,N/A
20:35:08,UDP,172.217.1.10,443,192.168.2.19,51846,243,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,1292,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,1292,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,1292,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,1292,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,120,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,120,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,188,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,188,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,73,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,73,N/A
20:35:09,UDP,192.168.2.19,51846,172.217.1.10,443,73,N/A
20:35:10,UDP,192.168.2.19,51846,172.217.1.10,443,73,N/A
20:35:10,UDP,192.168.2.19,51846,172.217.1.10,443,79,N/A
20:35:10,UDP,192.168.2.19,51846,172.217.1.10,443,79,N/A
20:35:10,UDP,172.217.1.10,443,192.168.2.19,51846,1292,N/A
20:35:10,UDP,172.217.1.10,443,192.168.2.19,51846,162,N/A
20:35:10,UDP,172.217.1.10,443,192.168.2.19,51846,67,N/A
20:35:10,UDP,192.168.2.19,51846,172.217.1.10,443,77,N/A
20:35:10,UDP,192.168.2.19,51846,172.217.1.10,443,77,N/A
20:35:10,UDP,192.168.2.19,63726,172.217.1.10,443,798,N/A
20:35:10,UDP,192.168.2.19,63726,172.217.1.10,443,798,N/A
20:35:10,UDP,172.217.1.10,443,192.168.2.19,51846,67,N/A
20:35:10,UDP,172.217.1.10,443,192.168.2.19,63726,71,N/A
20:35:11,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
20:35:11,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
